29,0,2
19,0,1
17,0,1
48,0,3
62,0,3
35,0,4
14,0,2
90,0,2
76,0,4
24,0,3
87,0,3
2,0,3
15,1,3
48,1,3
19,1,4
29,1,3
96,1,3
28,1,4
23,1,3
2,1,3
64,10,3
2,10,5
14,10,4
17,10,3
29,10,3
15,10,3
28,10,3
19,10,2
62,10,5
27,10,4
2,100,5
62,100,4
35,100,5
15,100,2
59,100,3
87,100,4
27,100,4
0,100,5
48,100,5
29,100,3
24,101,2
17,101,2
87,101,4
19,101,4
34,101,3
2,101,3
28,101,4
14,101,5
11,102,1
96,102,5
45,102,5
14,102,1
29,102,5
28,102,4
39,102,1
2,102,5
62,102,4
59,102,1
24,102,5
84,102,5
93,103,3
45,103,3
96,103,4
6,103,3
17,103,4
48,103,3
2,103,4
68,103,3
7,103,4
58,103,2
15,103,4
21,103,3
29,103,4
15,104,3
17,104,3
89,104,3
25,104,3
68,104,5
22,104,3
14,104,4
19,104,3
45,104,4
19,105,4
28,105,5
60,105,3
17,105,5
27,105,5
2,105,5
15,105,3
68,105,2
29,105,5
17,106,5
20,106,1
93,106,4
33,106,2
24,106,3
45,106,4
47,106,4
28,106,4
89,106,4
86,106,4
27,106,3
2,106,3
2,107,4
93,107,3
19,107,4
51,107,3
87,107,3
86,107,3
29,107,2
48,107,4
28,107,4
24,108,5
70,108,5
36,108,5
1,108,5
29,108,5
48,108,5
96,108,2
68,108,5
67,108,1
5,108,5
43,108,5
51,108,5
28,109,3
4,109,3
29,109,4
14,109,5
93,109,3
19,109,3
89,109,3
24,109,3
91,109,2
45,11,4
14,11,4
86,11,5
78,11,4
48,11,3
17,11,4
29,11,4
19,11,4
60,11,3
59,11,3
37,110,1
2,110,4
17,110,2
19,110,2
48,110,3
93,110,4
29,110,3
21,110,3
59,111,1
0,111,1
15,111,3
19,111,4
17,111,4
24,111,5
96,111,1
35,111,1
68,111,4
19,112,1
24,112,2
29,112,2
18,112,5
17,112,3
95,112,2
59,112,2
28,112,4
14,113,1
4,113,3
17,113,4
68,113,3
45,113,3
62,113,4
24,113,3
19,113,3
15,114,3
36,114,3
96,114,3
29,114,3
47,114,3
48,114,3
68,114,3
28,114,3
